PropertyNumber,ResearchDate,ResearchTimeIST,TimeZone,PropertyID,ListingTitle,Purpose,PropertyType,Configuration,Locality,ProjectFullLocation,HyderabadZone,PriceRent,Maintenance,SecurityDeposit,Brokerage,BuiltUpArea,CarpetArea,PlotArea,PricePerSqFt,Furnishing,Bathrooms,Balconies,Floor,TotalFloors,PropertyAge,ConstructionStatus,Possession,Facing,Parking,Ownership,Amenities,SellerCategory,SellerProviderName,ListingDateAge,VerificationStatus,SourceWebsite,DirectListingURL,AlsoFoundOn,ResearchNotes
11,2026-08-03,19:36:59,IST,MB85827769,"3 BHK 2595 Sqft Flat For Sale Kokapet, Hyderabad",Sale,Apartment/Flat,3 BHK,Kokapet,"THE CASCADES NEOPOLIS; Kokapet, Hyderabad - West, Andhra Pradesh",West,28500000,Not provided,Not provided,Not provided,2595 sqft,Not provided,Not provided,"₹10,999/sqft",Unfurnished,3,2,Not provided,Not provided,Under Construction,Under Construction,Not provided,Not provided,Not provided,Not provided,Not provided,Agent,GHR LAKSHMI URBANBLOCKS INFRA LLP,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-2595-Sq-ft-Multistorey-Apartment-FOR-Sale-Kokapet-in-Hyderabad%26id%3D4d423835383237373639,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400009538. Unavailable fields are marked Not provided; no private contact details were collected.
12,2026-08-03,19:36:59,IST,MB85827311,Plots for sale in Hyderabad,Sale,Apartment/Flat,3 BHK,Kokapet,"De Blueoak The Trilight; Kokapet, Hyderabad - West, Andhra Pradesh",West,33200000,Not provided,Not provided,Not provided,2888 sqft,Not provided,Not provided,"₹11,500/sqft",Unfurnished,3,3,Not provided,Not provided,Under Construction,Under Construction,Not provided,Not provided,Not provided,Not provided,Not provided,Agent,De Blueoak and P Mangatram Properties LLP,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-2888-Sq-ft-Multistorey-Apartment-FOR-Sale-Kokapet-in-Hyderabad%26id%3D4d423835383237333131,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400005390. Unavailable fields are marked Not provided; no private contact details were collected.
13,2026-08-03,19:36:59,IST,MB85823739,Plots for sale in Hyderabad,Sale,Apartment/Flat,4 BHK,Kokapet,"DSR VALAR; Kokapet, Hyderabad - West, Andhra Pradesh",West,41700000,Not provided,Not provided,Not provided,3800 sqft,Not provided,Not provided,"₹10,999/sqft",Unfurnished,3,2,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Agent,DSR Group,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/4-BHK-3800-Sq-ft-Multistorey-Apartment-FOR-Sale-Kokapet-in-Hyderabad%26id%3D4d423835383233373339,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400005583. Unavailable fields are marked Not provided; no private contact details were collected.
14,2026-08-03,19:36:59,IST,MB85823741,"4 BHK 4023 Sqft Flat For Sale in DSR VALAR,Kokapet, Hyderabad",Sale,Apartment/Flat,4 BHK,Kokapet,"DSR VALAR; Kokapet, Hyderabad - West, Andhra Pradesh",West,44200000,Not provided,Not provided,Not provided,4023 sqft,Not provided,Not provided,"₹10,999/sqft",Unfurnished,4,3,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Agent,DSR Group,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/4-BHK-4023-Sq-ft-Multistorey-Apartment-FOR-Sale-Kokapet-in-Hyderabad%26id%3D4d423835383233373431,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400005583. Unavailable fields are marked Not provided; no private contact details were collected.
15,2026-08-03,19:36:59,IST,MB85827319,Plots for sale in Hyderabad,Sale,Apartment/Flat,4 BHK,Kokapet,"De Blueoak The Trilight; Kokapet, Hyderabad - West, Andhra Pradesh",West,66400000,Not provided,Not provided,Not provided,5777 sqft,Not provided,Not provided,"₹11,500/sqft",Unfurnished,4,3,Not provided,Not provided,Under Construction,Under Construction,Not provided,Not provided,Not provided,Not provided,Not provided,Agent,De Blueoak and P Mangatram Properties LLP,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/4-BHK-5777-Sq-ft-Multistorey-Apartment-FOR-Sale-Kokapet-in-Hyderabad%26id%3D4d423835383237333139,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400005390. Unavailable fields are marked Not provided; no private contact details were collected.
16,2026-08-03,19:36:59,IST,MB85827323,"5 BHK 11,333 Sqft Flat For Sale Kokapet, Hyderabad",Sale,Apartment/Flat,5 BHK,Kokapet,"De Blueoak The Trilight; Kokapet, Hyderabad - West, Andhra Pradesh",West,130300000,Not provided,Not provided,Not provided,"11,333 sqft",Not provided,Not provided,"₹11,500/sqft",Unfurnished,4,3,Not provided,Not provided,Under Construction,Under Construction,Not provided,Not provided,Not provided,Not provided,Not provided,Agent,De Blueoak and P Mangatram Properties LLP,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/5-BHK-11333-Sq-ft-Multistorey-Apartment-FOR-Sale-Kokapet-in-Hyderabad%26id%3D4d423835383237333233,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400005390. Unavailable fields are marked Not provided; no private contact details were collected.
17,2026-08-03,19:36:59,IST,MB85828271,Plots for sale in Hyderabad,Sale,Villa,4 BHK,Kompally,"Kompally, Hyderabad, Kompally, Hyderabad - North, Andhra Pradesh",North,120000000,"₹12,000 Monthly",Not provided,Not provided,Not provided,3600 sqft,Not provided,"₹33,333/sqft",Furnished,4,2,Not provided,Not provided,5 to 10 years,Ready to Move,Ready to Move,East,"2 Covered, 1 Open",Freehold,Visitor Parking,Agent,Not provided,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/4-BHK-3805-Sq-ft-Villa-FOR-Sale-Kompally-in-Hyderabad%26id%3D4d423835383238323731,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. Unavailable fields are marked Not provided; no private contact details were collected.
18,2026-08-03,19:36:59,IST,MB85818901,"3 BHK 1950 Sqft Flat For Sale Kondapur, Hyderabad",Sale,Apartment/Flat,3 BHK,Kondapur,"Candeur Lakescape; Kondapur, Hyderabad - North, Andhra Pradesh",North,17500000,Not provided,Not provided,Not provided,1950 sqft,Not provided,Not provided,"₹8,974/sqft",Unfurnished,3,2,22,48,Under Construction,Under Construction,Not provided,North - East,Not provided,Freehold,"Jogging and Strolling Track, Outdoor Tennis Courts, Mini Cinema Theatre",Agent,Candeur Constructions,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1950-Sq-ft-Multistorey-Apartment-FOR-Sale-Kondapur-in-Hyderabad%26id%3D4d423835383138393031,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400005724. Unavailable fields are marked Not provided; no private contact details were collected.
19,2026-08-03,19:36:59,IST,MB85823923,Plots for sale in Hyderabad,Sale,Apartment/Flat,3 BHK,Kondapur,"Auro The Regent; Kondapur, Hyderabad - North, Andhra Pradesh",North,22300000,Not provided,Not provided,Not provided,2124 sqft,Not provided,Not provided,"₹10,502/sqft",Unfurnished,3,1,Not provided,Not provided,Less than 5 years,Ready To Move,Ready to Move,Not provided,Not provided,Not provided,"Power Back Up, Lift, Swimming Pool, Gymnasium, Security",Agent,Auro Realty,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-2124-Sq-ft-Multistorey-Apartment-FOR-Sale-Kondapur-in-Hyderabad%26id%3D4d423835383233393233,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400006675. Unavailable fields are marked Not provided; no private contact details were collected.
20,2026-08-03,19:36:59,IST,MB85818875,"2 BHK Flat 1200 Sq-ft For Rent in Silver Springs Apartment,Manikonda, Hyderabad",Rent,Apartment/Flat,2 BHK,Manikonda,"Silver Springs Apartment; flat no 402, silver springs apartment, road no 17, kpr colony, manikonda, Manikonda, Hyderabad - West, Andhra Pradesh",West,35000,Not provided,Not provided,No brokerage,Not provided,1000 sqft,Not provided,₹35/sqft,Furnished,2,2,4,5,5 to 10 years,Not provided,Not provided,North,Not provided,Not provided,Not provided,Owner,Not provided,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Manikonda-in-Hyderabad%26id%3D4d423835383138383735,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. Unavailable fields are marked Not provided; no private contact details were collected.
21,2026-08-03,19:36:59,IST,MB85818381,Plots for sale in Hyderabad,Rent,Apartment/Flat,1 BHK,Miyapur,"Madhavapuri Hills; Miyapur, Hyderabad - North, Andhra Pradesh",North,14500,Not provided,Not provided,Not provided,Not provided,1180 sqft,Not provided,₹12/sqft,Semi-Furnished,1,1,5,5,Not provided,Not provided,Not provided,East,Not provided,Not provided,Not provided,Owner,Not provided,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/1-BHK-1180-Sq-ft-Multistorey-Apartment-FOR-Rent-Miyapur-in-Hyderabad%26id%3D4d423835383138333831,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. Unavailable fields are marked Not provided; no private contact details were collected.
22,2026-08-03,19:36:59,IST,MB85826561,Plots for sale in Hyderabad,Rent,Apartment/Flat,2 BHK,Miyapur,"Lakshmis Emperia; near dmart miyapur, Miyapur, Hyderabad - North, Andhra Pradesh",North,32000,"₹4,000","₹64,000","₹21,333",1270 sqft,Not provided,Not provided,₹25/sqft,Semi-Furnished,2,1,2,10,Less than 5 years,Not provided,Not provided,East,Not provided,Not provided,Not provided,Agent,Lakshmi Infra Projects LLP,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/2-BHK-1270-Sq-ft-Multistorey-Apartment-FOR-Rent-Miyapur-in-Hyderabad%26id%3D4d423835383236353631,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400002086. Unavailable fields are marked Not provided; no private contact details were collected.
23,2026-08-03,19:36:59,IST,MB85823823,"3 BHK 1590 Sqft Flat For Sale in Candeur Twins,Miyapur, Hyderabad",Sale,Apartment/Flat,3 BHK,Miyapur,"Candeur Twins; Miyapur, Hyderabad - North, Andhra Pradesh",North,12500000,Not provided,Not provided,Not provided,1590 sqft,Not provided,Not provided,"₹7,899/sqft",Unfurnished,3,2,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Agent,Candeur Developers & Builders,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1590-Sq-ft-Multistorey-Apartment-FOR-Sale-Miyapur-in-Hyderabad%26id%3D4d423835383233383233,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400005082. Unavailable fields are marked Not provided; no private contact details were collected.
24,2026-08-03,19:36:59,IST,MB85823827,"3 BHK 1688 Sqft Flat For Sale in Candeur Twins,Miyapur, Hyderabad",Sale,Apartment/Flat,3 BHK,Miyapur,"Candeur Twins; Miyapur, Hyderabad - North, Andhra Pradesh",North,13300000,Not provided,Not provided,Not provided,1688 sqft,Not provided,Not provided,"₹7,899/sqft",Unfurnished,3,2,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Agent,Candeur Developers & Builders,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1688-Sq-ft-Multistorey-Apartment-FOR-Sale-Miyapur-in-Hyderabad%26id%3D4d423835383233383237,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400005082. Unavailable fields are marked Not provided; no private contact details were collected.
25,2026-08-03,19:36:59,IST,MB85823829,Plots for sale in Hyderabad,Sale,Apartment/Flat,3 BHK,Miyapur,"Candeur Twins; Miyapur, Hyderabad - North, Andhra Pradesh",North,13500000,Not provided,Not provided,Not provided,1711 sqft,Not provided,Not provided,"₹7,899/sqft",Unfurnished,3,2,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Agent,Candeur Developers & Builders,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1711-Sq-ft-Multistorey-Apartment-FOR-Sale-Miyapur-in-Hyderabad%26id%3D4d423835383233383239,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400005082. Unavailable fields are marked Not provided; no private contact details were collected.
26,2026-08-03,19:36:59,IST,MB85826109,Plots for sale in Hyderabad,Rent,Apartment/Flat,3 BHK,Miyapur Road,"Candeur 40; Candeur 40, Opposite D-Mart, Miyapur, Miyapur Road, Hyderabad - North, Andhra Pradesh",North,60000,Not provided,Not provided,Not provided,Not provided,1400 sqft,Not provided,₹43/sqft,Semi-Furnished,3,3,19,40,Less than 5 years,Not provided,Not provided,East,Not provided,Not provided,Not provided,Owner,Candeur Developers & Builders,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/3-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Rent-Miyapur-Road-in-Hyderabad%26id%3D4d423835383236313039,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400002183. Unavailable fields are marked Not provided; no private contact details were collected.
27,2026-08-03,19:36:59,IST,MB85821051,"2 BHK Flat 1325 Sq-ft For Rent in Hallmark Skyrena,Narsingi, Hyderabad",Rent,Apartment/Flat,2 BHK,Narsingi,"Hallmark Skyrena; Narsingi, Hyderabad - West, Andhra Pradesh",West,43500,Not provided,Not provided,Not provided,1325 sqft,Not provided,Not provided,₹33/sqft,Semi-Furnished,2,Not provided,8,15,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"Swimming Pool, Gymnasium, Mini Cinema Theatre, Bar/Lounge, Kids play area",Owner,Hallmark Builders,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/2-BHK-1325-Sq-ft-Multistorey-Apartment-FOR-Rent-Narsingi-in-Hyderabad%26id%3D4d423835383231303531,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400003042. Unavailable fields are marked Not provided; no private contact details were collected.
28,2026-08-03,19:36:59,IST,MB85827947,"4 BHK 5200 Sqft Flat For Sale Narsingi, Hyderabad",Sale,Apartment/Flat,4 BHK,Narsingi,"Vamsiram Newmark; Narsingi, Hyderabad - West, Andhra Pradesh",West,51900000,Not provided,Not provided,Not provided,5200 sqft,Not provided,Not provided,"₹9,999/sqft",Unfurnished,5,2,Not provided,Not provided,Under Construction,Under Construction,Not provided,Not provided,Not provided,Not provided,Not provided,Agent,Vamsiram Newmark Urban LLP,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/4-BHK-5200-Sq-ft-Multistorey-Apartment-FOR-Sale-Narsingi-in-Hyderabad%26id%3D4d423835383237393437,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P02400007343. Unavailable fields are marked Not provided; no private contact details were collected.
29,2026-08-03,19:36:59,IST,MB85821623,Plots for sale in Hyderabad,Rent,Villa,4 BHK,Tellapur,"Tellapur, Tellapur, Hyderabad - West, Andhra Pradesh",West,99000,"₹12,000","₹1,98,000","₹49,500",Not provided,3100 sqft,Not provided,₹32/sqft,Semi-Furnished,5,1,Not provided,Not provided,Less than 5 years,Immediately,Immediately,East,"1 Covered, 1 Open",Not provided,"Power Back Up, Lift, Swimming Pool, Gymnasium, Club House",Agent,Not provided,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/4-BHK-3470-Sq-ft-Villa-FOR-Rent-Tellapur-in-Hyderabad%26id%3D4d423835383231363233,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P01100000141. Unavailable fields are marked Not provided; no private contact details were collected.
30,2026-08-03,19:36:59,IST,8aa9bcc89fa29c5f019fa3ebb28a08f9,"2 BHK Flat in Rajapushpa Imperia for sale in Tellapur Hyderabad Telangana India, Hyderabad",Sale,Apartment/Flat,2 BHK,Tellapur,"Rajapushpa Imperia; Rajapushpa Imperia, Tellapur Hyderabad Telangana India, Hyderabad",Not provided,14500000,Not provided,Not provided,Not provided,851 SqFt,Not provided,Not provided,Not provided,Not furnished,2,1,8,Not provided,Not provided,Ready to Move,Immediately,West,Bike and Car,Not provided,"Security, Gym",Not provided,Not provided,"Aug 3, 2026",Verified Active,NoBroker,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-tellapur-hyderabad-telangana-india-hyderabad/8aa9bcc89fa29c5f019fa3ebb28a08f9/detail,Not identified,Direct page accessible with active contact/schedule action; date is the public NoBroker 'Posted On' date. Unavailable fields are marked Not provided; no private contact details were collected.
31,2026-08-03,19:36:59,IST,MB85827713,"4 BHK 3218 Sqft Villa For Sale in Pruthvi Adithyas Belmont Greene,Tellapur, Hyderabad",Sale,Villa,4 BHK,Tellapur,"Tellapur, Tellapur, Hyderabad - West, Andhra Pradesh",West,45500000,"₹11,200 Monthly",Not provided,Not provided,Not provided,3218 sqft,Not provided,"₹14,139/sqft",Unfurnished,5,3,Not provided,Not provided,New Construction,Ready to Move,Ready to Move,West,"2 Covered, 1 Open",Freehold,"Jogging and Strolling Track, Outdoor Tennis Courts, Bar/Lounge, Laundry Service",Agent,Not provided,"Aug 03, 2026",Verified Active,MagicBricks,https://www.magicbricks.com/propertyDetails/4-BHK-3416-Sq-ft-Villa-FOR-Sale-Tellapur-in-Hyderabad%26id%3D4d423835383237373133,Not identified,Direct page accessible with active seller contact action; date is the public MagicBricks 'Posted on' date. RERA ID publicly displayed: P01100000045. Unavailable fields are marked Not provided; no private contact details were collected.
